agg308,wd81,agg2503,utlmag04,duemag01,aepmag01,bi21s,lmd34s,ri27s,rle904,tel32s,tranbal09,at104s,sa21s,at103s,tel03s,at34af,g051s,agg9316,wd03,credits_subcategory,appusers_gender_male,1_cluster_mas_cercano,2_cluster_mas_cercano,3_cluster_mas_cercano,1_cluster_mas_lejano,2_cluster_mas_lejano,3_cluster_mas_lejano,target,set,fecha_desembolso,credito_id_anon
0.0,1.7,3.3,261.0,319.0,-2.0,-1.0,-1.0,-6.0,-1.0,0.0,681.0,90.0,4.0,100.0,1.0,77.0,9.0,0.0,0.0,SUB_01,0.0,1,32,4,5,31,10,1.0,train,2022-08-02,9415c718fdd9
521.0,2.44,-1.0,277.0,324.0,-2.0,3.0,-1.0,-6.0,-1.0,0.0,-1.0,64.0,24.0,88.0,2.0,98.0,36.0,553.0,0.38,SUB_21,0.0,30,6,66,5,0,2,1.0,train,2022-08-02,c27ce0d553e4
0.0,-7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,663.0,-1.0,100.0,7.0,33.0,1.0,-1.0,50.0,919.0,7.88,SUB_17,1.0,59,7,24,5,11,6,1.0,train,2022-08-02,13592e79f7e8
2366.0,78.0,-1.0,-1.0,-1.0,-1.0,44.0,-1.0,-6.0,-1.0,54.0,-2.0,14.0,14.0,33.0,1.0,17.0,50.0,2210.0,7.73,SUB_37,0.0,14,19,52,5,0,33,0.0,train,2022-08-02,a2652a68010d
754.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,-3.0,-1.0,25.0,16.0,-3.0,-3.0,-3.0,33.0,514.0,8.0,SUB_30,0.0,30,6,66,5,0,2,0.0,train,2022-08-02,59acd50f5d04
1171.0,2.65,-1.0,247.0,274.0,-2.0,-1.0,-1.0,-6.0,-1.0,0.0,-1.0,87.0,16.0,100.0,1.0,78.0,21.0,0.0,0.85,SUB_23,0.0,30,66,6,5,0,15,1.0,train,2022-08-02,c740118f5279
1054.0,603.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,34.0,-1.0,14.0,22.0,50.0,1.0,100.0,20.0,772.0,5.31,SUB_12,0.0,55,37,20,5,0,2,0.0,train,2022-08-04,ed31fb2a0e73
39.0,8.0,-1.0,-1.0,-1.0,-1.0,-4.0,-4.0,-4.0,-6.0,-4.0,-6.0,-4.0,9.0,-4.0,-4.0,-4.0,100.0,-2.0,8.0,SUB_21,0.0,-1,-1,-1,-1,-1,-1,0.0,train,2022-08-04,b5cd9a4ada2e
2130.0,611.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,-1.0,98.0,-1.0,100.0,4.0,40.0,1.0,74.0,86.0,1043.0,6.19,SUB_21,0.0,-1,-1,-1,-1,-1,-1,0.0,train,2022-08-04,dc46a5f513fe
0.0,0.0,8.6,309.0,205.0,316.0,20.0,-1.0,1.0,-1.0,-3.0,2780.0,83.0,1.0,100.0,-3.0,85.0,0.0,0.0,0.0,SUB_32,1.0,63,46,64,5,4,1,1.0,train,2022-08-04,234e03597e9d
-2.0,8.0,-1.0,-1.0,474.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,14.0,8.0,0.0,0.0,-3.0,67.0,4691.0,8.0,SUB_32,1.0,33,17,2,5,3,11,1.0,train,2022-08-05,d522a7e57e9c
0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,279.0,-1.0,46.0,10.0,100.0,3.0,78.0,8.0,0.0,0.0,SUB_12,0.0,5,11,30,0,2,33,1.0,train,2022-08-05,8a446e6b5a94
0.0,5.15,12.6,358.0,413.0,300.0,1.0,90.0,-6.0,-1.0,0.0,483.0,100.0,1.0,95.0,3.0,90.0,55.0,0.0,0.09,SUB_17,1.0,5,11,30,0,2,33,1.0,train,2022-08-05,48d2c165c8f4
45.0,0.28,-1.0,321.0,313.0,-2.0,-1.0,-1.0,1.0,-1.0,64.0,-1.0,14.0,15.0,67.0,0.0,0.0,43.0,66.0,1.2,SUB_12,1.0,49,53,10,5,3,14,1.0,train,2022-08-05,57aa42a57074
2252.0,5.17,-1.0,-1.0,-1.0,-1.0,134.0,-1.0,-6.0,-1.0,986.0,-2.0,57.0,2.0,100.0,5.0,100.0,30.0,324.0,4.15,SUB_21,1.0,66,55,30,5,0,2,1.0,train,2022-08-05,60dca3d063b0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_05,0.0,42,67,31,5,0,2,1.0,train,2022-08-05,93a7d81b90c8
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_33,0.0,3,9,14,5,0,15,1.0,train,2022-08-05,537450196269
2568.0,536.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,420.0,-1.0,42.0,16.0,33.0,1.0,118.0,67.0,3119.0,5.78,SUB_37,0.0,5,11,30,0,2,33,0.0,train,2022-08-05,68b3417d0c14
133.0,441.0,-1.0,-1.0,-1.0,-1.0,165.0,-1.0,-3.0,-1.0,30.0,-2.0,14.0,20.0,100.0,1.0,-3.0,75.0,76.0,5.25,SUB_12,0.0,5,11,30,0,2,33,0.0,train,2022-08-08,4d716f1f1213
2393.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,-1.0,0.0,-2.0,70.0,72.0,63.0,2.0,105.0,35.0,1460.0,5.61,SUB_17,1.0,55,35,51,5,0,2,0.0,train,2022-08-08,ffac20cf36f5
15266.0,3.48,5.1,268.0,340.0,347.0,-1.0,-1.0,-6.0,-1.0,19.0,-2.0,70.0,20.0,67.0,2.0,91.0,60.0,1063.0,5.25,SUB_32,0.0,16,51,35,5,0,2,1.0,train,2022-08-08,0ed715ed4bda
492.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,-1.0,-1.0,-1.0,100.0,3.0,0.0,-1.0,27.0,57.0,462.0,8.0,SUB_33,0.0,3,9,14,5,0,15,0.0,train,2022-08-08,a5a13ba7bc66
407.0,771.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-3.0,-2.0,0.0,8.0,-2.0,-3.0,-2.0,33.0,305.0,7.13,SUB_21,0.0,5,11,30,0,2,33,0.0,train,2022-08-08,86a2bb546c6b
-2.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,0.0,2.0,-3.0,-3.0,-1.0,67.0,119.0,7.02,SUB_17,0.0,51,35,16,5,0,2,0.0,train,2022-08-08,7a04f8195c3f
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_33,0.0,52,69,16,5,0,2,1.0,train,2022-08-08,78be35e94849
