campo,valor,n
descripcion_negocio,Accesorios en acero inoxidable moñas ganchos y demás accesorios etc,1
descripcion_negocio,Muñecas de trapo vinchas,1
descripcion_negocio,"Pizzas, perros calientes , hamburguesa, picadas , patacones , desgranado , asado , sandwich, arepas rellenas y hago repostería creativa por pedidos",1
descripcion_negocio,Pagos de servicios y granos,1
descripcion_negocio,Artesanias de lana,1
descripcion_negocio,Uñas  aclirica  semi  todo  lo  que  tenga  quever  en  uñas,1
descripcion_negocio,"Alumbre, alcanfor y vaselina",1
descripcion_negocio,Arepa rellena arepa con queso arepa cacheo chorizos,1
descripcion_negocio,Productos cervezas,1
descripcion_negocio,Calzado y ropa,1
descripcion_negocio,"Maqui lo ar a terceros
Muñecas afro y suovenir",1
descripcion_negocio,"Venta de abarrotes, productos lácteos, carnes frías, aseo personal y para el hogar",1
descripcion_negocio,Arepas de huevos,1
descripcion_negocio,"Procesos de pérdida de peso y productos naturales como colágenos, fibras etc",1
descripcion_negocio,Accesorios en cuero para dama y caballero,1
descripcion_negocio,Pollo/ pescado /platano,1
descripcion_negocio,Colageno hidrolizado.y perfumes y colonias  vitamina E,1
descripcion_negocio,Insumos para el hogar y salsas para restaurantes y supermercados,1
descripcion_negocio,Confeccion de buzos pantalón camisas,1
descripcion_negocio,Ropa para hombres y mujeres,1
descripcion_negocio,Servicio técnico de celulares y accesorios,1
descripcion_negocio,"sala de internet, impresiones - copias - papleria",1
descripcion_negocio,"Hamburguesa,arroz mixto",1
descripcion_negocio,Camas,1
descripcion_negocio,Estampados,1
descripcion_negocio,Elotes y esquites,1
descripcion_negocio,Luces LED,1
descripcion_negocio,Peluqueria  y venta de ropa,1
descripcion_negocio,Embellecimiento automotriz,1
descripcion_negocio,Veladoras velas baños riegos,1
descripcion_negocio,Comida preparada servicio a la mesa,1
descripcion_negocio,Ventas colonias cremas ropa maquillaje,1
descripcion_negocio,Venta de calzado de moda y ropa,1
descripcion_negocio,"Pizzas Saludables sin conservantes, ni colorantes,  servicio de personalización, además hamburguesas, perros, Burritos  etc. Utilizamos empaques biodegradables y implementamos una dinámica para incentivar la creatividad de los niños y el compartir familiar, colocando hojas y crayolas para colorear mientras esperan el pedido.",1
descripcion_negocio,Todo es estampado y publicidad artículos de decoración bisutería pinturas cuadros,1
descripcion_negocio,"Tienda se detalles, venta de plantas naturales suculentas y bonsais, orquideas, flores, medias de diseños animados, bisuteria, peluches, pocillos sublimados, camisetas y busos sublimados, suministros de jardinería para el hogar, accesorios como diademas, pañoletas, collares, aretes",1
