credito_id_anon,cliente_id_anon,fecha_desembolso,numero_cuota,dias_retraso,fecha_t_pago,fecha_pago,valor_pagado,estatus_credito,ciudad,sexo,tipo_de_negocio,origen,max_dias_retraso,target
240136494e02,5dc7e38c2232,2022-01-31,2,16.0,2022-04-02,2022-04-18,237000.0,PAGO,LOC_218,0,SEC_72,CANAL_17,16.0,1.0
240136494e02,5dc7e38c2232,2022-01-31,3,0.0,2022-05-02,,0.0,PAGO,LOC_218,0,SEC_72,CANAL_17,16.0,1.0
240136494e02,5dc7e38c2232,2022-01-31,4,0.0,2022-06-01,,,PAGO,LOC_218,0,SEC_72,CANAL_17,16.0,1.0
6f148a6b03a5,9cac17e62be7,2022-02-01,1,1.0,2022-03-02,2022-03-03,150000.0,PAGO,LOC_218,0,SEC_35,CANAL_17,1.0,1.0
6f148a6b03a5,9cac17e62be7,2022-02-01,2,0.0,2022-04-01,2022-03-14,162585.0,PAGO,LOC_218,0,SEC_35,CANAL_17,1.0,1.0
6f148a6b03a5,9cac17e62be7,2022-02-01,3,0.0,2022-05-01,,0.0,PAGO,LOC_218,0,SEC_35,CANAL_17,1.0,1.0
5696121e6115,428d14e1451d,2022-02-12,1,793.0,2022-03-13,,0.0,ACTIVO,LOC_218,0,SEC_14,CANAL_17,793.0,0.0
0a02c8a13e03,51d4161cafe7,2022-02-12,1,3.0,2022-03-13,2022-03-16,105000.0,PAGO,LOC_364,0,SEC_14,CANAL_17,3.0,1.0
e244113c7ce0,788bd5bf60fb,2022-02-14,1,793.0,2022-03-13,,0.0,ACTIVO,LOC_301,1,SEC_22,CANAL_17,793.0,0.0
f999679974ec,8f7c3558f164,2022-02-14,1,0.0,2022-03-13,2022-03-07,105000.0,PAGO,LOC_627,0,SEC_22,CANAL_17,0.0,1.0
33a752fc6818,e00a5e4a41b9,2022-02-12,1,793.0,2022-03-13,,0.0,ACTIVO,LOC_301,0,SEC_21,CANAL_17,793.0,0.0
6ba725e2abd3,fdbeae7a99c7,2022-02-12,1,4.0,2022-03-13,2022-03-17,105000.0,PAGO,LOC_218,0,SEC_64,CANAL_17,4.0,1.0
c9e86c4bf697,c8341c8908d2,2022-02-12,1,0.0,2022-03-13,2022-03-02,105000.0,PAGO,LOC_218,1,SEC_38,CANAL_17,0.0,1.0
57e8eb3a15f8,0bbc056980df,2022-02-12,1,793.0,2022-03-13,,0.0,ACTIVO,LOC_218,1,SEC_32,CANAL_17,793.0,0.0
c25ae34e7863,43e36032fff4,2022-02-12,1,732.0,2022-03-13,2024-03-14,105450.0,PAGO,LOC_301,1,SEC_22,CANAL_17,732.0,0.0
9bb9b95f8de3,7bb4f03c90d7,2022-02-14,1,0.0,2022-03-13,2022-03-09,105000.0,PAGO,LOC_218,0,SEC_22,CANAL_17,0.0,1.0
34a7ea5e7f0d,5bf574b24093,2022-02-12,1,793.0,2022-03-13,,0.0,ACTIVO,LOC_218,1,SEC_64,CANAL_17,793.0,0.0
60c62ced7fba,766e88638d99,2022-02-16,1,0.0,2022-03-16,2022-03-15,105000.0,PAGO,LOC_301,0,SEC_34,CANAL_17,0.0,1.0
10f634a18e1a,f5f01f5040d4,2022-02-17,1,0.0,2022-03-18,2022-03-14,105000.0,PAGO,LOC_627,0,SEC_41,CANAL_17,0.0,1.0
f84c009129dd,7d88be4544c2,2022-02-17,1,0.0,2022-03-18,2022-03-13,105000.0,PAGO,LOC_218,1,SEC_06,CANAL_17,0.0,1.0
