credito_id_anon,max_dias_retraso,target
0c24eda81156,344.0,0.0
0c27816187e4,3.0,1.0
0c2a05bcf59a,464.0,0.0
0c2eecc7a7a6,0.0,1.0
0c2feb93473e,495.0,0.0
0c38297bce49,0.0,1.0
0c3af256344d,25.0,1.0
0c3ea3ce0e15,19.0,1.0
0c4532e01428,252.0,0.0
0c58e92e69c2,0.0,1.0
0c5ffd041e08,0.0,1.0
0c6c8c68c3d4,511.0,0.0
0c6fdbdafaf9,21.0,1.0
0c7aa662f1fd,84.0,0.0
0c7bc452af9f,684.0,0.0
0c8b33878b0a,0.0,1.0
0c8d363de1fb,0.0,1.0
0c9154d4449c,299.0,0.0
0c93f5f88cbe,0.0,1.0
0ca0326dae0f,375.0,0.0
0cb3b5988fff,526.0,0.0
0cb53e27a1cc,0.0,1.0
0cb7671ecc29,299.0,0.0
0cbfc6284226,541.0,0.0
0cc822aea5a0,0.0,1.0
0cc945f99eb9,526.0,0.0
0cce9d32a26f,84.0,0.0
0cd12a2cae09,1.0,1.0
0ce7ece90aa0,0.0,1.0
0cf54b3412cd,1.0,1.0
0cf6b6c73e67,360.0,0.0
0cf9c8002a1b,0.0,1.0
0cff38dcfb23,0.0,1.0
0cff82c76544,32.0,
0d0145391907,410.0,0.0
0d0c0922f831,27.0,1.0
0d1039aa256d,24.0,1.0
0d1fd0862fc7,36.0,
0d39a955346c,449.0,0.0
0d43ec068f6a,0.0,1.0
0d453fc818ac,0.0,1.0
0d48798efb40,3.0,1.0
0d4a890359d9,436.0,0.0
0d56c49dcf28,55.0,
0d592c47b8a6,55.0,
0d66e108474e,13.0,1.0
0d6ac9fc2c99,344.0,0.0
0d6db0682a27,607.0,0.0
0d72f4880e67,0.0,1.0
0d78295aa2f3,436.0,0.0
0d8586749ae2,191.0,0.0
0d899de57d0b,6.0,1.0
0d9789b02ba9,541.0,0.0
0da6cf737567,0.0,1.0
0da71f3d939c,27.0,1.0
0da96a4a7602,0.0,1.0
0dac555c9074,0.0,1.0
0dae4741d482,39.0,
0db493c6c6bd,1.0,1.0
0dbde717668a,222.0,0.0
0dbe2f00ab31,146.0,0.0
0dc5b409a1c9,9.0,1.0
0dc70df8eb2c,3.0,1.0
0dc785d21b05,0.0,1.0
0dd43cebb7da,480.0,0.0
0dda13f6af08,0.0,1.0
0dda4a4c17c7,1.0,1.0
0ddb4740c5f4,207.0,0.0
0de4aa252358,18.0,1.0
0decdcfc1881,161.0,0.0
0df4498058a1,55.0,
0df71a08414f,541.0,0.0
0df75702bb1a,464.0,0.0
0e05286a319b,0.0,1.0
0e0549129da9,375.0,0.0
0e18d7f6acfa,0.0,1.0
0e23b8d2991b,2.0,1.0
0e29c29e5221,8.0,1.0
