number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
252,0.7645043731778426,2026-08-24 20:55:56.474850,2026-08-24 20:55:56.753451,0 days 00:00:00.278601,0.5508109586871232,0.07070516300727864,8,3,0.01143387414892179,0.0005245294821085823,0.5941864526737103,COMPLETE
253,0.7505102040816326,2026-08-24 20:55:56.753532,2026-08-24 20:55:56.908562,0 days 00:00:00.155030,0.5331122915239767,0.07837984130039101,4,4,0.0076329135221643,0.00012930029299639692,0.8296511957590417,COMPLETE
254,0.7582069970845482,2026-08-24 20:55:56.908649,2026-08-24 20:55:57.213824,0 days 00:00:00.305175,0.513747270632035,0.05030030659491065,8,3,0.01708701437306479,0.00021911034039129345,0.8525474928300735,COMPLETE
255,0.7626530612244897,2026-08-24 20:55:57.213908,2026-08-24 20:55:57.504405,0 days 00:00:00.290497,0.5632966484303805,0.06689749738774516,8,2,0.3407812598554286,0.00015955477619879375,0.8443774861793025,COMPLETE
256,0.7588775510204082,2026-08-24 20:55:57.504483,2026-08-24 20:55:57.820533,0 days 00:00:00.316050,0.5273183561171365,0.08326627962458867,8,4,0.02715710591553967,0.00010032436640335492,0.8058578568239027,COMPLETE
257,0.7678717201166181,2026-08-24 20:55:57.820621,2026-08-24 20:55:58.478885,0 days 00:00:00.658264,0.5431567837941931,0.07329208138925962,8,3,0.006312766884669308,0.00038055700556726785,0.8285689492345284,COMPLETE
258,0.7620845481049563,2026-08-24 20:55:58.478971,2026-08-24 20:55:58.787089,0 days 00:00:00.308118,0.5347849523038751,0.06067063457554444,8,2,0.010204130843253495,0.00019510002476200568,0.862464368352273,COMPLETE
259,0.7630612244897959,2026-08-24 20:55:58.787237,2026-08-24 20:55:59.106696,0 days 00:00:00.319459,0.5541344972224965,0.0543657814564756,8,3,0.012885543088639071,0.00013946374653566718,0.8224694874122311,COMPLETE
260,0.7654518950437317,2026-08-24 20:55:59.106782,2026-08-24 20:55:59.435339,0 days 00:00:00.328557,0.5074573523830842,0.04359054377456131,8,3,0.020782944615844862,0.00025336147771036553,0.8373504897537809,COMPLETE
261,0.7592128279883381,2026-08-24 20:55:59.435420,2026-08-24 20:55:59.706064,0 days 00:00:00.270644,0.5208914339015044,0.08884542979878861,8,2,0.008256700874122164,0.00012063338832422279,0.8508211382602776,COMPLETE
262,0.7717784256559767,2026-08-24 20:55:59.706144,2026-08-24 20:56:00.138078,0 days 00:00:00.431934,0.545164815870049,0.06545350600716832,8,3,0.49690698588042803,0.00016530631446232358,0.8122832405410195,COMPLETE
263,0.7640087463556853,2026-08-24 20:56:00.138178,2026-08-24 20:56:00.583865,0 days 00:00:00.445687,0.5446478531506174,0.07878295635208021,8,4,0.5269416807455081,0.00017539785932112943,0.8132362801918229,COMPLETE
264,0.7464941690962099,2026-08-24 20:56:00.583946,2026-08-24 20:56:00.720820,0 days 00:00:00.136874,0.5574357133923987,0.0694568131962118,8,2,0.3871678096048836,0.00014511412663744937,0.8778059736997883,COMPLETE
265,0.768600583090379,2026-08-24 20:56:00.720902,2026-08-24 20:56:01.021090,0 days 00:00:00.300188,0.5483690507341976,0.05696418360890099,8,3,0.2691905625846251,0.00010028442086796559,0.8410310368432165,COMPLETE
